Time (s), X(nmi), Y(nmi)
120, 0.400, -1.837
125, -0.729, -0.580
130, -0.456, 0.485
135, -1.477, 0.539
140, -2.016, 0.833
145, -3.430, 0.505
150, -3.987, -0.569
155, -2.082, 0.434
160, -3.617, 0.219
165, -5.688, 0.970
170, -6.205, 0.416
175, -6.006, 0.272
180, -7.822, 0.642
185, -7.317, -0.583
190, -6.149, 0.966
195, -8.632, 0.787
200, -9.665, 0.787
205, -10.147, -1.191
210, -12.443, 0.742
215, -11.600, 1.405
220, -12.531, 0.345
225, -13.898, -0.128
230, -12.629, -0.230
235, -13.374, -0.015
240, -13.135, 1.149
245, -14.918, 0.653
250, -16.843, 0.154
255, -16.204, 1.508
260, -16.685, -1.044
265, -17.834, 1.016
270, -18.824, 0.579
275, -18.764, -0.360
280, -19.611, -1.959
285, -20.685, -0.121
290, -20.398, -0.012
295, -22.556, -0.166
300, -22.412, 0.431
305, -21.143, -0.871
310, -22.080, -0.925
315, -24.058, 0.104
320, -23.734, 0.464
325, -25.359, -0.761
330, -23.683, 1.165
335, -23.475, 0.255
340, -25.684, 1.022
345, -27.674, 0.171
350, -29.056, -1.086
355, -28.887, 0.603
360, -30.533, -0.624
365, -29.455, -0.999
370, -29.687, 0.054
375, -32.669, 0.737
380, -32.168, 1.748
385, -30.189, -0.825
390, -31.174, 1.577
395, -32.805, -0.280
400, -33.537, -0.189
405, -35.553, -0.480
410, -36.204, 0.426
415, -34.973, 0.652
420, -36.148, -0.884
